"日本標準商品分類(平成2年[1990年]6月改定)"
"分類コード","項目名","本籍"
"02192","わに皮",""
"02193","へび皮",""
"02194","とかげ皮",""
"02195","犬皮",""
"02196","ねこ皮",""
"02197","鯨皮",""
"02198","水産皮（鯨皮を除く。）",""
"02199","他に分類されない原皮",""
"022","原毛皮",""
"0221","うさぎ原毛皮",""
"02211","うさぎ（全形のもの）",""
"02212","うさぎ（頭部・尾部・足部・その他の切片）",""
"0222","羊及び子羊原毛皮",""
"02221","羊及び子羊（全形のもの）",""
"02222","羊及び子羊（頭部・尾部・足部・その他の切片）",""
"0223","やぎ及び子やぎ原毛皮",""
"02231","やぎ及び子やぎ（全形のもの）",""
"02232","やぎ及び子やぎ（頭部・尾部・足部・その他の切片）",""
"0224","きつね原毛皮",""
"02241","きつね（全形のもの）",""
"02242","きつね（頭部・尾部・足部・その他の切片）",""
"0225","たぬき原毛皮",""
"02251","たぬき（全形のもの）",""
"02252","たぬき（頭部・尾部・足部・その他の切片）",""
"0226","いたち原毛皮",""
"02261","いたち（全形のもの）",""
"02262","いたち（頭部・尾部・足部・その他の切片）",""
"0227","ミンク原毛皮",""
"02271","ミンク（全形のもの）",""
"02272","ミンク（頭部・尾部・足部・その他の切片）",""
"0228","海獣類原毛皮",""
"02281","海獣類（全形のもの）",""
"02282","海獣類（頭部・尾部・足部・その他の切片）",""
"0229","その他の原毛皮",""
"02291","その他の原毛皮（全形のもの）",""
"02292","その他の原毛皮（頭部・尾部・足部・その他の切片）",""
"023","原羽毛",""
"0231","原羽毛（原綿毛を除く。）",""
"0232","原綿毛",""
"024","水産動物生産品",""
"0241","真珠",""
"0242","さんご",""
"0243","きっこう（亀甲）",""
"0244","貝類",""
"02441","かん水産",""
"02442","淡水産",""
"0245","かいめん",""
"0249","その他の水産動物生産品（鯨のひげ皮及び歯を除く。）",""
"025","薬用動物原料",""
"0251","せん及びせん質原料",""
"0252","肝臓",""
"0253","内蔵（肝臓を除く。）",""
"0259","その他の薬用動物原料",""
"026","骨，ひずめ及び角",""
"0261","獣骨",""
"0262","ひずめ",""
"0263","角",""
"027","動物性粗製繊維",""
"0271","繭（種繭を除く。）",""
"02711","家蚕繭",""
"027111","上繭",""
"0271111","生上繭",""
"0271112","乾上繭",""
"027112","玉繭",""
"0271121","生玉繭",""
"0271122","乾玉繭",""
"027113","中繭",""
"0271131","生中繭",""
"0271132","乾中繭",""
"027114","くず繭",""
"027115","出殻繭",""
"027116","繭けば",""
"02712","野蚕繭",""
"027121","天蚕繭",""
"027129","その他の野蚕繭",""
"0272","羊毛",""
"02721","あぶら付羊毛",""
"02722","水洗羊毛",""
"0273","羊毛類似の毛",""
"02731","アンゴラやぎの毛（モヘヤ）",""
"02732","アルパカの毛",""
"02733","ラマの毛",""
"02734","らくだの毛",""
"02735","カシミヤやぎの毛",""
"02736","アンゴラと（兎）毛",""
"02737","と（兎）毛（アンゴラと（兎）毛を除く。）",""
"02739","その他の羊毛類似の毛",""
"0274","獣毛（羊毛及び羊毛類似の毛を除く。）",""
"02741","馬のたてがみ及び尾毛（まえ髪を含む。）",""
"02742","牛の尾毛",""
"02743","牛馬の体毛",""
"02744","やぎの毛（カシミヤ及びアンゴラやぎの毛を除く。）",""
"02745","豚毛",""
"02749","その他の獣毛（羊毛及び羊毛類似の毛を除く。）",""
"0279","その他の動物性粗製繊維",""
"02791","人毛",""
"02799","他に分類されない動物性粗製繊維",""
"029","その他の食用以外の動物粗製品",""
"0291","ラック",""
"0292","天然固形香料及び関連生産品",""
"0293","牛の受精卵",""
"0294","牛の精液",""
"0295","豚の精液",""
"0299","他に分類されない食用以外の動物粗製品",""
"03","植物粗製品",""
"031","種子（油脂用種実を除く。）",""
"0311","穀類・豆類の種子",""
"03111","水陸稲種子",""
"031111","水稲うるち",""
"031112","水稲もち",""
"031113","陸稲うるち",""
"031114","陸稲もち",""
"03112","麦類種子",""
"031121","六条大麦",""
"031122","二条大麦",""
"031123","裸麦",""
"031124","小麦",""
"031129","その他の麦類種子",""
"03113","雑穀種子",""
"031131","あわ",""
"031132","きび",""
"031133","そば",""
"031134","とうもろこし",""
"031135","はとむぎ",""
"031136","ひえ",""
"031137","もろこし（こうりゃんを含む。）",""
"031139","その他の雑穀種子",""
"03114","豆類種子（未成熟用のものを除く。）",""
"031141","大豆",""
"031142","小豆",""
"031143","いんげん",""
"0311431","うずら",""
"0311432","大手亡",""
"0311433","金時",""
"0311439","その他のいんげん",""
"031144","えんどう",""
"031145","ささげ",""
"031146","そらまめ",""
"031147","緑豆",""
"031148","落花生",""
"031149","その他の豆類種子（未成熟用のものを除く。）",""
"0312","飼肥料用作物の種子",""
"031201","イタリアンライグラス種子",""
"031202","ペレニアルライグラス種子",""
"031203","ハイブッリドライグラス種子",""
"031204","オーチャードグラス種子",""
"031205","チモシー種子",""
"031206","トールフェスク種子",""
"031207","メドーフェスク種子",""
"031208","レッドフェスク種子",""
"031211","スムーズブロームグラス種子",""
"031212","ケンタッキーブルーグラス種子",""
"031213","レッドトップ種子",""
"031214","ベントグラス種子",""
"031215","トールオートグラス種子",""
"031216","リードカナリーグラス種子",""
"031217","バヒアグラス種子",""
"031218","ダリスグラス種子",""
"031221","ローズグラス種子",""
"031222","カラードギニアグラス種子",""
"031223","ギニアグラス種子",""
"031224","オオクサキビ種子",""
"031225","バーミューダグラス種子",""
"031226","ネーピアグラス種子",""
"031227","ウィーピングラブグラス種子",""
"031228","プレリーグラス類種子",""
"031231","青刈とうもろこし種子",""
"031232","ソルガム・スーダングラス種子",""
"031233","パールミレット種子",""
"031234","テオシント種子",""
"031235","ひえ種子",""
"031236","しこくびえ種子",""
"031237","青刈えん麦種子",""
"031238","青刈大麦種子",""
"031241","青刈らい麦種子",""
"031242","青刈小麦種子",""
"031243","アカクローバ種子",""
"031244","シロクローバ種子",""
"031245","アルファルファ種子",""
"031246","バーズフットトレフォイル種子",""
"031247","アルサイククローバ種子",""
"031248","クリムソンクローバ種子",""
"031251","サブタレニアンクローバ種子",""
"031252","れんげ種子",""
"031253","コモンベッチ種子",""
"031254","ヘアリーベッチ種子",""
"031255","カウピー種子",""
"031256","ルーピン種子",""
"031257","飼料かぶ種子",""
"031258","飼料用ビート種子",""
"031261","レープ種子",""
"031299","その他の飼肥料用作物の種子",""
"0313","野菜種子",""
"03131","根菜類種子",""
"031311","かぶ種子",""
"031312","ごぼう種子",""
"031313","だいこん種子",""
"031314","にんじん種子",""
"031319","その他の根菜類種子",""
"03132","葉菜類種子",""
"0313201","アスパラガス種子",""
"0313202","カリフラワー種子",""
"0313203","キャベツ種子",""
"0313204","しゅんぎく種子",""
"0313205","セロリー種子",""
"0313206","たまねぎ種子",""
"0313207","つけな種子（からしな種子を含む。）",""
"0313208","にら種子",""
"0313211","ねぎ種子",""
"0313212","はくさい種子",""
"0313213","ブロッコリー種子",""
"0313214","ほうれんそう種子",""
"0313215","みつば種子",""
