"日本標準商品分類(平成2年[1990年]6月改定)"
"分類コード","項目名","本籍"
"再掲","その他の原動機直流発電機セット（※301113）","301113
"
"再掲","交流発電機（30112）","30112
"
"再掲","原動機交流発電機セット（※30112）","30112
"
"再掲","蒸気タービン付発電機（3011222）","3011222
"
"再掲","ガスタービン付発電機（3011232）","3011232
"
"再掲","ディーゼル機関付発電機（3011242）","3011242
"
"再掲","その他の原動機交流発電機セット（301129）","301129
"
"再掲","電動発電機（※3014）","3014
"
"再掲","その他の発電機（30119）","30119
"
"再掲","電動機（3012）","3012
"
"再掲","直流電動機（30121）","30121
"
"再掲","立形直流電動機（※301213）","301213
"
"再掲","横形直流電動機（※301213）","301213
"
"再掲","交流電動機（30122）","30122
"
"再掲","立形交流電動機（※30122）","30122
"
"再掲","横形交流電動機（※30122）","30122
"
"再掲","配電盤（3032）","3032
"
"再掲","起動器（※30367）","30367
"
"再掲","電気機器の部分品及び附属品（※301，※303）","301
"
"再掲","その他の電気機器（※301，※303）","301
"
"5075","操船装置",""
"50751","かじ取り装置",""
"507511","蒸気式かじ取り装置",""
"507512","電動式かじ取り装置",""
"507513","電動油圧式かじ取り装置",""
"507514","手動油圧式かじ取り装置",""
"507515","手動かじ取り装置",""
"507518","かじ取り装置の部分品及び附属品",""
"507519","その他のかじ取り装置",""
"50752","特殊推進軸付操舵装置",""
"50753","サイドスラスタ",""
"507531","電動式サイドスラスタ",""
"507532","油圧式サイドスラスタ",""
"507538","サイドスラスタの部分品及び附属品",""
"507539","その他のサイドスラスタ",""
"50754","スタビライザ",""
"507541","タンク式スタビライザ",""
"507542","可動翼式スタビライザ",""
"507548","スタビライザの部分品及び附属品",""
"507549","その他のスタビライザ",""
"50759","その他の操船装置",""
"5076","係船及び荷役機械",""
"50761","係船機",""
"507611","蒸気式係船機",""
"507612","電動式係船機",""
"507613","油圧式係船機",""
"507618","係船機の部分品及び附属品",""
"507619","その他の係船機",""
"再掲","ウィンドラス（3536）","3536
"
"再掲","蒸気式ウィンドラス（35361）","35361
"
"再掲","電動式ウィンドラス（35362）","35362
"
"再掲","油圧式ウィンドラス（35363）","35363
"
"再掲","手動式ウィンドラス（35364）","35364
"
"再掲","ウィンドラスの部分品及び附属品（※3536）","3536
"
"再掲","その他のウィンドラス（35369）","35369
"
"再掲","ウィンチ（3532）","3532
"
"再掲","電動式ウィンチ（35321）","35321
"
"再掲","蒸気式ウィンチ（35322）","35322
"
"再掲","油圧式ウィンチ（35323）","35323
"
"再掲","手動式ウィンチ（35324）","35324
"
"再掲","ウィンチの部分品及び附属品（※3532）","3532
"
"再掲","その他のウィンチ（35329）","35329
"
"50764","デッキクレーン",""
"507641","油圧式デッキクレーン",""
"507642","電動式デッキクレーン",""
"507648","デッキクレーンの部分品及び附属品",""
"507649","その他のデッキクレーン",""
"5077","自動制御装置及び遠隔制御装置",""
"50771","主機自動制御装置",""
"50772","主機遠隔制御装置",""
"50773","遠隔集中監視装置",""
"再掲","電子計算機（※529）","529
"
"再掲","データーロガー（※529）","529
"
"50776","オートパイロット",""
"50777","荷役制御装置",""
"50779","その他の自動制御装置及び遠隔制御装置",""
"507791","自動温度調整装置",""
"507792","自動圧力調整装置",""
"507793","遠隔液面制御装置",""
"507799","他に分類されない自動制御装置及び遠隔制御装置",""
"再掲","冷凍機及びエアコンディショナ（561，※562）","561
"
"再掲","冷凍機（561）","561
"
"50782","糧食用冷蔵庫",""
"50783","倉内温湿度調整装置",""
"再掲","エアコンディショナ（※562）","562
"
"再掲","冷凍機・エアコンディショナの部分品及び附属品（※561，※562）","561
"
"再掲","その他の舶用補機（※32，※34，※63）","32
"
"再掲","修理設備（※32，※34，※63）","32
"
"再掲","工作機械（321）","321
"
"再掲","施盤（3211）","3211
"
"再掲","ボール盤（3212）","3212
"
"再掲","フライス盤（3214）","3214
"
"再掲","グラインダ（3215）","3215
"
"再掲","万能工作機械（3217）","3217
"
"再掲","その他の工作機械（3219）","3219
"
"再掲","溶接・溶断機（324）","324
"
"再掲","電気溶接・溶断機（※324）","324
"
"再掲","ガス溶接機（3243）","3243
"
"再掲","万力（342141）","342141
"
"再掲","工具（※341）","341
"
"再掲","その他の修理設備（※32）","32
"
"再掲","計器（※63）","63
"
"再掲","温度計（6213）","6213
"
"再掲","回転計（6321）","6321
"
"再掲","圧力計（6323）","6323
"
"再掲","指示圧力計（※63231）","63231
"
"再掲","熱量計（63252）","63252
"
"再掲","流量計（63261）","63261
"
"再掲","液面計（63262）","63262
"
"再掲","軸馬力計（※6362）","6362
"
"再掲","振動計（※6361）","6361
"
"再掲","その他の計器（※63）","63
"
"508","航海用機器",""
"5081","航海計器",""
"再掲","電波計器（※543）","543
"
"再掲","航法装置（5431）","5431
"
"再掲","ロラン受信機（54311）","54311
"
"再掲","デッカナビゲータ装置（54312）","54312
"
"再掲","オメガ装置（54313）","54313
"
"再掲","衛星航法装置（54314）","54314
"
"再掲","複合航法装置（54316）","54316
"
"再掲","その他の航法装置（※54319）","54319
"
"再掲","方位測定機（※5432）","5432
"
"再掲","ビーコン受信機（※5433）","5433
"
"再掲","レーダ（54342）","54342
"
"再掲","衝突予防装置（※543）","543
"
"再掲","接岸装置（※543）","543
"
"再掲","その他の電波計器（※543）","543
"
"再掲","コンパス（※637）","637
"
"再掲","ジャイロコンパス（63762）","63762
"
"再掲","レピータコンパス（※63762）","63762
"
"再掲","磁気コンパス（63771）","63771
"
"再掲","その他のコンパス（※637）","637
"
"再掲","測深機器（※614）","614
"
"再掲","音響測深機（※6144）","6144
"
"再掲","測深機械（61441）","61441
"
"再掲","手用測船（※637）","637
"
"再掲","深海測船（※637）","637
"
"再掲","その他の測深機器（※614，※657）","614
"
"再掲","測程機器（65293）","65293
"
"再掲","手用測程儀（652931）","652931
"
"再掲","えい航式測程器（652932）","652932
"
"再掲","圧力式測程儀（652933）","652933
"
"再掲","電磁式測程儀（657311）","657311
"
"再掲","ドプラログ（※6322）","6322
"
"再掲","その他の測程機器（※63293）","63293
"
"再掲","天測計器（※651321）","651321
"
"再掲","六分儀（637131）","637131
"
"再掲","クロノメータ（※635）","635
"
"再掲","気象観測器（65131）","65131
"
"再掲","風向計（651314）","651314
"
"再掲","風速計（651315）","651315
"
"再掲","気圧計（651316）","651316
"
"再掲","温度計（6313）","6313
"
"再掲","湿度計（63251）","63251
"
"再掲","電磁海流計（632616）","632616
"
"50819","その他の航海計器",""
"再掲","クリノメータ（637192）","637192
"
"508192","喫水計",""
"508193","航跡自画器",""
"508194","針路自画器",""
"508195","ロードインジケータ",""
"508196","測距儀",""
"508197","航角指示器",""
"再掲","双眼鏡（65212）","65212
"
"508199","他に分類されない航海計器",""
"再掲","舶用無線通信装置（54222）","54222
"
"再掲","中波中短波送受信装置（※542221）","542221
"
"再掲","電信用送信装置（※542221）","542221
"
"再掲","電話用送信装置（※542221）","542221
"
"再掲","電信電話用送信装置（※542221）","542221
"
"再掲","受信装置（※542221）","542221
"
"再掲","送受信装置（※542221）","542221
"
"再掲","短波送受信装置（※542221）","542221
"
"再掲","電信用送信装置（※542221）","542221
"
"再掲","電話用送信装置（※542221）","542221
"
"再掲","電信・電話用送信装置（※542221）","542221
"
"再掲","受信装置（※542221）","542221
"
"再掲","送受信装置（※542221）","542221
"
"再掲","超短波送受信装置（※542222）","542222
"
"再掲","送信装置（※542222）","542222
"
"再掲","受信装置（※542222）","542222
"
"再掲","送受信装置（※542222）","542222
"
"再掲","極超短波送受信装置（※542223）","542223
"
"再掲","送信装置（※542223）","542223
"
"再掲","受信装置（※542223）","542223
"
"再掲","送受信装置（※542223）","542223
"
"再掲","遭難自動通報装置（※5439）","5439
"
"再掲","緊急自動通信装置（※5439）","5439
"
"再掲","テレタイプ送受信装置（※54131）","54131
"
"再掲","模写送受信装置（※54131）","54131
"
"再掲","その他の舶用無線通信装置（※5439）","5439
"
"5083","船内通信装置",""
"再掲","電話機（※5411）","5411
"
"再掲","指令装置（※541）","541
"
"再掲","インターホン（54122）","54122
"
"再掲","拡声器（※54512）","54512
"
"50835","伝声管",""
"50836","テレグラフ",""
"508361","電気式テレグラフ",""
"508362","機械式テレグラフ",""
"508369","その他のテレグラフ",""
"50839","その他の船内通信装置",""
"5084","船燈",""
"50841","しょう（檣）燈",""
"50842","げん（舷）燈",""
"50843","船尾燈",""
"50844","てい（碇）泊燈",""
"50845","紅燈",""
"50846","紅色内光燈",""
"50849","その他の船燈",""
"5085","係船設備",""
"50851","アンカー",""
"508511","ストックアンカー",""
"508512","ストックレスアンカー",""
"508519","その他のアンカー",""
"50852","アンカーチェーン",""
"508521","鍛接アンカーチェーン",""
"508522","電気溶接アンカーチェーン",""
"508523","鋳鋼アンカーチェーン",""
"508529","その他のアンカーチェーン",""
"50853","フェンダ",""
"50854","係船索発射機",""
"50859","その他の係船設備",""
"508591","ムアリングパイプ",""
"508592","フェアリーダ",""
"508593","ボラード",""
"508594","ストッパ",""
"508595","デッキエンドローラ",""
"508596","ビット",""
"508599","他に分類されない係船設備",""
"5086","かじ",""
"50861","非つり合いかじ",""
"50862","つり合いかじ",""
"50863","半つり合いかじ",""
"50864","反動かじ",""
"50865","アクティブラダ",""
"50869","その他のかじ",""
"5087","信号器具",""
"50871","信号標識",""
"508711","国際信号旗",""
"508712","黒球",""
"508713","黒色円すい（錐）形象物",""
"508714","紅色円すい（錐）形象物",""
"508715","白色菱形形象物",""
"508716","黒色菱形形象物",""
"508717","黒色円筒形形象物",""
"508718","紅色球形形象物",""
"508719","その他の信号標識",""
"再掲","信号燈（415411）","415411
"
"508721","モールス信号燈（4154111）",""
"再掲","昼間信号燈（4154112）","4154112
"
"再掲","その他の信号燈（4154119）","4154119
"
"再掲","音響信号器具（41542）","41542
"
"再掲","汽笛（415421）","415421
"
"再掲","銅ら（415422）","415422
"
"再掲","サイレン（415423）","415423
"
"再掲","号鐘（415424）","415424
"
"再掲","霧中号角（415425）","415425
"
"509","ぎ装品",""
"再掲","弁及び管継手（※45）","45
"
"再掲","一般弁（コックを含む。）（451）","451
"
"再掲","鋳鋼弁（45112）","45112
"
"再掲","鍛鋼弁（45113）","45113
"
"再掲","鋳鉄弁（45114）","45114
"
"再掲","青銅弁（45115）","45115
"
"再掲","その他の一般弁（45119，45129）","45119
"
"再掲","自動調整弁（45116）","45116
"
"再掲","空気式自動調整弁（4511621）","4511621
"
"再掲","油圧式自動調整弁（4511622）","4511622
"
"再掲","電気式自度調整弁（4511623）","4511623
"
"再掲","その他の自動調整弁（451169）","451169
"
"再掲","高温高圧弁（45117）","45117
"
"再掲","管継手（452）","452
"
"再掲","電気器具（※30，※62）","30
"
"再掲","整流器（3025）","3025
"
"再掲","配電器具（※303）","303
"
"再掲","分電箱（※303）","303
"
"再掲","区電箱（※303）","303
"
"再掲","開閉器（※303）","303
"
"再掲","しゃ断器（※303）","303
"
"再掲","給電箱（※303）","303
"
"再掲","ヒューズボックス（※303）","303
"
"再掲","その他の配電器具（※303）","303
"
"再掲","蓄電池（※623）","623
"
"再掲","変圧器（※302）","302
"
"再掲","電圧調整器（※３０２）","302
"
"再掲","照明器具（※622）","622
"
"再掲","白熱電燈照明器具（6221）","6221
"
"再掲","防爆形白熱電燈照明器具（※622152）","622152
"
"再掲","その他の白熱電燈照明器具（※622152）","622152
"
"再掲","探照燈（622132）","622132
"
"再掲","蛍光放電燈照明器具（622242）","622242
"
"再掲","持ち運び式ランプ（6224）","6224
"
"再掲","その他の電気器具（※30，※62）","30
"
"5093","荷役設備",""
"50931","ハッチカバー装置",""
"509311","動力式ハッチ閉鎖装置",""
"5093111","巻取り式ハッチ閉鎖装置",""
"5093112","折たたみ式ハッチ閉鎖装置",""
"5093113","ヒンジ式ハッチ閉鎖装置",""
"5093119","その他の動力式ハッチ閉鎖装置",""
"509312","ハッチボード",""
"509313","ターポリン",""
"509318","ハッチカバー装置の部分品及び附属品",""
"50932","デリックブーム",""
"50933","チェンブロック",""
"50934","鋼具",""
"509341","滑車",""
"509342","結合金具",""
"509343","ロープ固ばく金具",""
"509344","デリック及びマスト附属金具",""
"509349","その他の鋼具",""
"50935","荷役用具",""
"509351","カーゴフック",""
"509352","カーゴスリング",""
"509359","その他の荷役用具",""
"50939","その他の荷役設備",""
"5094","通風装置及び採光装置",""
"50941","通風装置",""
"509411","きせる形通風筒",""
"509412","きのこ形通風筒",""
"509413","グースネック形通風器",""
"509414","パンカールーブル",""
"509415","ディフューザー形金物",""
"509419","その他の通風装置",""
"50942","サーモタンク",""
"再掲","ラジエータ（※8415）","8415
"
"50944","マンホール",""
"50945","水密扉及び風雨密扉",""
"50946","げん窓",""
"509461","旋回窓",""
"509462","丸窓",""
"509463","角窓",""
"509464","防風窓",""
"50947","天窓",""
"50948","甲板明り取り",""
"50949","その他の通風装置及び採光装置",""
"5095","救命設備",""
"再掲","救命器具（412）","412
"
"509511","救命艇",""
"5095111","オール式救命艇",""
"5095112","発動機付救命艇",""
"5095113","機械推進装置付救命艇",""
"5095119","その他の救命艇",""
"509512","端艇",""
"再掲","救命いかだ（4121）","4121
"
"再掲","救命いかだ（ぼうちょう式を除く。）（41211）","41211
"
"再掲","ぼうちょう式救命いかだ（41212）","41212
"
"再掲","救命浮器（4122）","4122
"
"再掲","救命浮環（4123）","4123
"
"再掲","救命胴衣（4124）","4124
"
"再掲","救命索発射器（4125）","4125
"
"再掲","救命艇備品（4126）","4126
"
"再掲","その他の救命器具（4129）","4129
"
"50952","信号装置及び器具",""
"509521","自己点火燈",""
"509522","自己発煙信号燈",""
"509523","持ち運び式無線装置",""
"509524","遭難信号自動発信器",""
"509525","警報装置",""
"再掲","救命艇用通信設備（54399）","54399
"
"再掲","落下さん付信号（415433）","415433
"
"再掲","火せん（16433）","16433
"
"再掲","その他の信号装置及び器具（41549）","41549
"
"50953","進水装置",""
"509531","救命艇揚おろし装置",""
"509532","救命いかだ進水装置",""
"509533","救命浮器進水装置",""
"509534","乗込装置",""
"50959","その他の救命設備",""
"再掲","消火装置（※413）","413
"
"再掲","消火装置（※4131）","4131
"
"再掲","炭酸ガス式消火装置（※4131）","4131
"
"再掲","蒸気式消火装置（※4131）","4131
"
"再掲","散水式消火装置（※4131）","4131
"
"再掲","送水式消火装置（※4131）","4131
"
"再掲","その他の消火装置（※4131）","4131
"
"再掲","消火器具（※4132）","4132
"
"再掲","消火器（※4132）","4132
"
"再掲","泡消火器（※4132）","4132
"
"再掲","粉末消火器（※4132）","4132
"
"再掲","炭酸ガス消火器（※4132）","4132
"
"再掲","その他の消火器（※4132）","4132
"
"再掲","消防ノズル（※413）","413
"
"再掲","消火せん（※413）","413
"
"再掲","消火ホース（※413）","413
"
"再掲","その他の消火器具（41329）","41329
"
"再掲","火災警報装置（※4151）","4151
"
"再掲","差動式警報装置（※41512）","41512
"
"再掲","定温式警報装置（※41512）","41512
"
"再掲","煙管式警報装置（※41512）","41512
"
"再掲","ガス検知器（41131）","41131
"
"再掲","その他の消火装置（※4139）","4139
"
"再掲","舶用公害防止機器（※41625）","41625
"
"再掲","油水分離器（※381）","381
"
"再掲","廃油処理装置（41622）","41622
"
"再掲","汚水処理装置（41623）","41623
"
"再掲","し尿処理装置（41624）","41624
"
"再掲","その他の舶用公害防止機器（※41699）","41699
"
"再掲","居住設備及びちゅう房設備（※43，※56，※66，※83，※84，※86，※87）","43
"
"再掲","居住設備（※83）","83
"
"509811","ロッカー（8316）",""
"再掲","机及びテーブル（卓子）（8306，8307）","8306
"
"再掲","いす（8312）","8312
"
"再掲","ベッド（8313）","8313
"
"再掲","医療設備（※66，※86，※87）","66
"
"再掲","バス設備（※845）","845
"
"再掲","洗面設備（※847）","847
"
"再掲","トイレット設備（※847）","847
"
"再掲","ちゅう房設備（※84）","84
"
"再掲","調理設備（※8311，※844）","8311
"
"再掲","調理台（83111）","83111
"
"再掲","配ぜん台（83112）","83112
"
"再掲","流し台（83113）","83113
"
"再掲","冷蔵庫（83261）","83261
"
"再掲","アイスボックス（83262）","83262
"
"再掲","飲料冷水器（※5633）","5633
"
"再掲","熱料理器（8441）","8441
"
"再掲","さら洗器（84441）","84441
"
"再掲","調理機器（※843）","843
"
"再掲","製パン機械（43115）","43115
"
"再掲","肉類加工機（※4316）","4316
"
"再掲","豆腐製造機（※4319）","4319
"
"再掲","スープボイラ（※8431）","8431
"
"再掲","ライスボイラ（※8431）","8431
"
"再掲","クッキングレンヂ（※8439）","8439
"
"再掲","皮はぎ（剥）機（84421）","84421
"
"再掲","万能調理機（※84499）","84499
"
"再掲","その他の居住設備及びちゅう房設備（※43，※56，※66，※83，※84，※86，※87）","43
"
"5099","その他のぎ装品",""
"再掲","エレベータ（3551）","3551
"
"50992","ボートダビット",""
"509921","回転式ボートダビット",""
"509922","重力式ボートダビット",""
"509923","振出し式ボートダビット",""
"509929","その他のボートダビット",""
"再掲","ロープ（14913）","14913
"
"再掲","ワイヤーロープ（21713）","21713
"
"再掲","綿ロープ（1491319）","1491319
"
"再掲","マニラ麻ロープ（1491311）","1491311
"
"再掲","ナイロンロープ（1491321）","1491321
"
"再掲","ビニロンロープ（1491322）","1491322
"
"再掲","ポリエチレンロープ（1491326）","1491326
"
"再掲","その他のロープ（14919）","14919
"
"50994","オーニング",""
"50995","帆",""
"50996","船側はしご",""
"509961","自在式船側はしご",""
"509962","自動水中階段式船側はしご",""
"509963","固定階段式船側はしご",""
"509969","その他の船側はしご",""
"50999","他に分類されないぎ装品",""
"51","航空機、ロケット及び人工衛星",""
"511","航空機",""
"5111","飛行機",""
"51111","ピストン機",""
"51112","ターボジェット機",""
"51113","ターボファン機",""
"51114","ターボプロップ機",""
"51119","その他の飛行機",""
"5112","回転翼航空機",""
"51121","ヘリコプター",""
"51129","その他の回転翼航空機",""
"5113","滑空機",""
"51131","初級滑空機",""
"51132","中級滑空機",""
"51133","上級滑空機",""
"51134","動力滑空機",""
"51139","その他の滑空機",""
"5114","飛行船",""
"5115","特殊航空機",""
"51151","Ｖ／ＳＴＯＬ機",""
"51152","ティルトロータ機",""
"51153","Ｘウィング機",""
"51154","無人航空機",""
"51159","その他の特殊航空機",""
"5119","その他の航空機",""
"512","機体部品及び附属装置",""
"5121","機体部品",""
"51211","離着陸装置",""
"512111","脚支柱",""
"512112","油圧緩衝支柱",""
"512113","車輪（車輪用のブレーキを含む。）",""
"再掲","タイヤ（1113）","1113
"
"再掲","チューブ（1118）","1118
"
"512116","スキー",""
"512117","フロート",""
"512119","その他の離着陸装置",""
"51212","風防",""
"51213","タンク",""
"512131","金属製タンク",""
"512132","ゴム製タンク",""
"512139","その他のタンク",""
"51219","その他の機体部品",""
"5122","機体附属装置",""
"51221","冷却器",""
"再掲","空気調和装置（56213）","56213
"
"51223","防氷装置",""
"51224","防火装置",""
"51225","座席装置",""
"再掲","座席（※831293）","831293
"
"512252","安全バンド",""
"512253","座席放出装置",""
"512259","その他の座席装置",""
"51229","その他の機体附属装置",""
"再掲","照明装置（※622）","622
"
"再掲","機内照明灯（622154）","622154
"
"再掲","標識灯（※415412）","415412
"
"再掲","着陸灯（※415412）","415412
"
"再掲","その他の照明装置（62299）","62299
"
"再掲","保安装置（※41）","41
"
"再掲","消火装置（※413）","413
"
"再掲","警報装置（※415）","415
"
"再掲","酸素供給装置（41114）","41114
"
"再掲","非常脱出装置（※419）","419
"
"再掲","その他の保安装置（※419）","419
"
"再掲","発動機（※281）","281
"
"再掲","発動機（※281）","281
"
"再掲","ピストン発動機（2812）","2812
"
"再掲","ガスタービン発動機（28175）","28175
"
"再掲","ターボジェット発動機（281751）","281751
"
"再掲","ターボファン発動機（281759）","281759
"
"再掲","ターボプロップ発動機（281752）","281752
"
"再掲","ターボシャフト発動機（281753）","281753
"
"再掲","その他のガスタービン発動機（281759）","281759
"
"再掲","ラムジェット発動機（281754）","281754
"
"再掲","補助動力装置（281759）","281759
"
"再掲","その他の発動機（28179）","28179
"
"再掲","発動機部品及び附属装置（28189）","28189
"
"再掲","ピストン発動機部品（281891）","281891
"
"再掲","ピストンリング（281892）","281892
"
"再掲","弁ばね（214）","214
"
"再掲","ジャーナル軸受（※441）","441
"
"再掲","その他のピストン発動機部品（※28189）","28189
"
"再掲","ターボジェット発動機部品（28189）","28189
"
"再掲","燃焼室（2818）","2818
"
"再掲","スラストリバーサー（282）","282
"
"再掲","アフタバーナ（282）","282
"
"再掲","その他のターボジェット発動機部品（28189）","28189
"
"再掲","発動機附属装置（28189）","28189
"
"再掲","空気ろ過器（281843）","281843
"
"再掲","排気駆動過給機（28188）","28188
"
"再掲","排気管（28189）","28189
"
"再掲","その他の発動機附属装置（28189）","28189
"
"再掲","その他の発動機（28179）","28179
"
"514","プロペラ及び回転翼",""
"5141","プロペラ",""
"51411","木製プロペラ",""
"51412","金属製プロペラ",""
"51419","その他のプロペラ",""
"5142","回転翼",""
"51421","主回転翼",""
"51422","補助回転翼",""
"51429","その他の回転翼",""
"5148","プロペラ及び回転翼の部品及び附属品",""
"51481","プロペラ部品",""
"514811","羽根",""
"514812","ボス金具",""
"514813","スピナ",""
"514819","その他のプロペラ部品",""
"51482","プロペラ附属品",""
"514821","フェザポンプ",""
"514822","フェザ電動機",""
"514823","調速機",""
"514829","その他のプロペラ附属品",""
"51483","回転翼部品",""
"514831","複合材製回転翼羽根",""
"514832","金属製回転翼羽根",""
"514833","ハブ",""
"514839","その他の回転翼部品",""
"51484","回転翼附属品",""
"514841","トランスミッション",""
"514849","その他の回転翼附属品",""
"515","補器",""
"再掲","油圧系統機器（※315）","315
"
"再掲","作動油ポンプ（3151）","3151
"
"再掲","蓄圧器（3159）","3159
"
"再掲","ろ過器（3156）","3156
"
"再掲","油圧作動器（3152）","3152
"
"再掲","イクオライザ（315）","315
"
"再掲","作動油調整器（3154）","3154
"
"再掲","リザーバ（315）","315
"
"再掲","その他の油圧系統機器（3159）","3159
"
"再掲","電気系統機器（30）","30
"
"再掲","発電機（3011）","3011
"
"再掲","直流（30111）","30111
"
"再掲","交流（30112）","30112
"
"再掲","電動機（3012）","3012
"
"再掲","インバータ（30243）","30243
"
"再掲","コンバータ（30243）","30243
"
"再掲","その他の電気系統機器（309）","309
"
"5153","空気圧系統機器",""
"再掲","真空ポンプ（3131）","3131
"
"再掲","空気圧縮ポンプ（311）","311
"
"再掲","その他の空気圧系統機器（3119）","3119
"
"再掲","始動用機器（28185）","28185
"
"再掲","始動機（28185）","28185
"
"再掲","その他の始動用機器（281859）","281859
"
"再掲","点火系統機器（626）","626
"
"再掲","イグナイタ（626）","626
"
"再掲","マグネット発電機（6265）","6265
"
"再掲","点火せん（6266）","6266
"
"再掲","その他の点火系統機器（6269）","6269
"
"5156","燃料系統機器",""
"51561","燃料ポンプ",""
"再掲","気化器（28182）","28182
"
"51563","給気圧力調整器",""
"再掲","燃料噴射ポンプ（281831）","281831
"
"51565","燃料管制器",""
"再掲","燃料ろ過器（281841）","281841
"
"再掲","ノズル（281832）","281832
"
"51568","ブースタポンプ",""
"51569","その他の燃料系統機器",""
"5157","滑油系統機器",""
"51571","滑油ポンプ",""
"再掲","滑油ろ過器（281842）","281842
"
"51573","滑油冷却器",""
"51579","その他の滑油系統機器",""
"5158","エンジン制御装置",""
"51581","全電子式エンジン制御装置",""
"51589","その他のエンジン制御装置",""
"5159","その他の補器",""
"再掲","航空計器（63）","63
"
"再掲","速度計（6322）","6322
"
"再掲","高度計（6323）","6323
"
"再掲","気圧高度計（6323）","6323
"
"再掲","電波高度計（54393）","54393
"
"再掲","その他の高度計（6323）","6323
"
"再掲","バンク旋回計（63763）","63763
"
"再掲","昇降計（6323）","6323
"
"再掲","人工水平儀（63763）","63763
"
"再掲","定針儀（63763）","63763
"
"再掲","コンパス（63762）","63762
"
"再掲","加速度計（632282）","632282
"
"再掲","真空計（632362）","632362
"
"再掲","大気温度計（6313623）","6313623
"
"再掲","滑油温度計（6313622）","6313622
"
"再掲","吸気温度計（6313621）","6313621
"
"再掲","シンリダ温度計（6313624）","6313624
"
"再掲","排気温度計（6313629）","6313629
"
"再掲","燃料圧力計（632312）","632312
"
"再掲","滑油圧力計（632312）","632312
"
"再掲","吸気圧力計（632312）","632312
"
"再掲","混合比計（63239）","63239
"
"再掲","回転計（632132）","632132
"
"再掲","燃料流量計（63261）","63261
"
"再掲","フラップ位置指示計（6329221）","6329221
"
"再掲","脚指示計（6329222）","6329222
"
"51627","失速指示器",""
"再掲","作動油圧力計（6323）","6323
"
"再掲","航空時計（6429）","6429
"
"再掲","前後左右傾斜計（637632）","637632
"
"再掲","マッハ計（6322）","6322
"
"再掲","燃料油量計（63261）","63261
"
"再掲","滑油油量計（63261）","63261
"
"再掲","スラスト計（632）","632
"
"再掲","同調計（632）","632
"
"再掲","作動油油量計（63261）","63261
"
"再掲","ブレーキ圧力計（6323）","6323
"
"再掲","水・アルコール液圧力計（6323）","6323
"
"再掲","水・アルコール液量計（63261）","63261
"
"再掲","防氷液液量計（63261）","63261
"
"再掲","その他の航空計器（63）","63
"
"517","航空用電子機器及び航空用電波機器",""
"5171","航空用電子機器",""
"517101","自動操縦装置",""
"517102","飛行安定装置",""
"517103","フライトディレクタ装置",""
"517104","慣性航法装置",""
"517105","レーザジャイロ装置",""
"517106","電子式ディスプレイ装置",""
"517107","ヘッドアップディスプレイ装置",""
"517108","航法用電子計算機",""
"517111","エンジン指示・警報装置",""
"517112","飛行管理システム",""
"517113","飛行記録装置",""
"517114","音声記録装置",""
"517199","その他の航空用電子機器",""
"5172","航空用電波機器",""
"再掲","無線電話送受信機（54223）","54223
"
"再掲","方向探知機（54321）","54321
"
"再掲","ＶＯＲ受信装置（54333）","54333
"
"再掲","距離測定装置（54334）","54334
"
"再掲","ローカライザ受信装置（5449）","5449
"
"再掲","グライドスロープ受信装置（5449）","5449
"
"再掲","マーカ受信装置（5449）","5449
"
"517208","航空交通管制自動応答装置",""
"再掲","ロラン受信装置（54311）","54311
"
"再掲","オメガ受信装置（54313）","54313
"
"再掲","デッカ受信装置（54312）","54312
"
"再掲","航空機用レーダ（54341）","54341
"
"再掲","電波高度計（54393）","54393
"
"再掲","データ伝送装置（54223）","54223
"
"再掲","衝突防止装置（5433）","5433
"
"再掲","タカン機上装置（54335）","54335
"
"再掲","ＭＬＳ受信装置（5439）","5439
"
"再掲","ＧＰＳ受信装置（5439）","5439
"
"再掲","航空衛星用機上装置（5434）","5434
"
"再掲","その他の航空用電波機器（5439）","5439
"
"5179","その他の航空用電子機器及び航空用電波機器",""
"518","その他の航空機用装備品及び航空用地上設備（航法用設備を除く。）",""
"5181","その他の航空機用装備品",""
"51811","酸素装置",""
"518112","パラシュート",""
"518121","人用パラシュート",""
"518122","貨物用パラシュート",""
"518123","制動用パラシュート",""
"518129","その他のパラシュート",""
"再掲","救命いかだ（4121）","4121
"
"再掲","救命ボート（499511）","499511
"
"51815","航空被服",""
"518151","飛行服",""
"再掲","救命胴衣（4124）","4124
"
"518159","その他の航空被服",""
"51819","他に分類されないその他の航空機用装備品",""
"5182","航空用地上設備（航法用設備を除く。）",""
"51821","操縦訓練用設備",""
"518211","リンクトレーナ",""
"再掲","シミュレータ（529）","529
"
"518219","その他の操縦訓練用設備",""
"51829","その他の航空用地上設備（航法用設備を除く。）",""
"5189","他に分類されないその他の航空機用装備品及び航空機用地上設備（航法用設備を除く。）",""
"519","ロケット及び人工衛星",""
"5191","ロケット",""
"51911","試験ロケット",""
"51912","実験ロケット",""
"51913","観測ロケット",""
"51914","人工衛星等打上げロケット",""
"51919","その他のロケット",""
"5192","ロケット構成機器",""
"51921","機体",""
"51922","推進機器",""
"51923","誘導・制御機器",""
"51924","通信・計測機器",""
"51929","その他のロケット構成機器",""
"5193","宇宙往還機及び構成機器",""
"51931","宇宙往還機",""
"51932","機体",""
"51933","推進機器",""
"51934","誘導・制御機器",""
